serial_number,drone_type,bandwidth_from,id_from,bandwidth_to,id_to,ratio,bandwidth_pair
SerialNumber_196,Mavic 3C,20MHz,264,40MHz,119,0.45075757575757575,20MHz_to_40MHz
SerialNumber_196,Mavic 3C,20MHz,406,40MHz,119,0.29310344827586204,20MHz_to_40MHz
SerialNumber_196,Mavic 3C,40MHz,119,10MHz,195,1.638655462184874,40MHz_to_10MHz
SerialNumber_196,Mavic 3C,40MHz,119,10MHz,147,1.2352941176470589,40MHz_to_10MHz
SerialNumber_196,Mavic 3C,40MHz,119,20MHz,407,3.4201680672268906,40MHz_to_20MHz
SerialNumber_196,Mavic 3C,40MHz,119,20MHz,264,2.2184873949579833,40MHz_to_20MHz
SerialNumber_196,Mavic 3C,40MHz,119,20MHz,406,3.411764705882353,40MHz_to_20MHz
SerialNumber_20,Mini 3 Pro,10MHz,195,40MHz,504,2.5846153846153848,10MHz_to_40MHz
SerialNumber_20,Mini 3 Pro,10MHz,195,40MHz,736,3.7743589743589743,10MHz_to_40MHz
SerialNumber_20,Mini 3 Pro,10MHz,195,40MHz,367,1.882051282051282,10MHz_to_40MHz
SerialNumber_20,Mini 3 Pro,10MHz,195,20MHz,199,1.0205128205128204,10MHz_to_20MHz
SerialNumber_20,Mini 3 Pro,40MHz,504,10MHz,195,0.3869047619047619,40MHz_to_10MHz
SerialNumber_20,Mini 3 Pro,40MHz,736,10MHz,195,0.264945652173913,40MHz_to_10MHz
SerialNumber_20,Mini 3 Pro,40MHz,367,10MHz,195,0.5313351498637602,40MHz_to_10MHz
SerialNumber_20,Mini 3 Pro,40MHz,504,20MHz,199,0.3948412698412698,40MHz_to_20MHz
SerialNumber_20,Mini 3 Pro,40MHz,736,20MHz,199,0.2703804347826087,40MHz_to_20MHz
SerialNumber_20,Mini 3 Pro,40MHz,367,20MHz,199,0.5422343324250681,40MHz_to_20MHz
SerialNumber_20,Mini 3 Pro,20MHz,199,10MHz,195,0.9798994974874372,20MHz_to_10MHz
SerialNumber_20,Mini 3 Pro,20MHz,199,40MHz,504,2.5326633165829144,20MHz_to_40MHz
SerialNumber_20,Mini 3 Pro,20MHz,199,40MHz,736,3.698492462311558,20MHz_to_40MHz
SerialNumber_20,Mini 3 Pro,20MHz,199,40MHz,367,1.8442211055276383,20MHz_to_40MHz
SerialNumber_206,Mini 4 Pro,20MHz,55,10MHz,147,2.672727272727273,20MHz_to_10MHz
SerialNumber_206,Mini 4 Pro,20MHz,55,10MHz,195,3.5454545454545454,20MHz_to_10MHz
SerialNumber_206,Mini 4 Pro,20MHz,223,10MHz,147,0.6591928251121076,20MHz_to_10MHz
SerialNumber_206,Mini 4 Pro,20MHz,223,10MHz,195,0.874439461883408,20MHz_to_10MHz
SerialNumber_206,Mini 4 Pro,20MHz,54,10MHz,147,2.7222222222222223,20MHz_to_10MHz
SerialNumber_206,Mini 4 Pro,20MHz,54,10MHz,195,3.611111111111111,20MHz_to_10MHz
SerialNumber_206,Mini 4 Pro,20MHz,1,10MHz,147,147.0,20MHz_to_10MHz
SerialNumber_206,Mini 4 Pro,20MHz,1,10MHz,195,195.0,20MHz_to_10MHz
SerialNumber_206,Mini 4 Pro,20MHz,568,10MHz,147,0.25880281690140844,20MHz_to_10MHz
SerialNumber_206,Mini 4 Pro,20MHz,568,10MHz,195,0.34330985915492956,20MHz_to_10MHz
SerialNumber_206,Mini 4 Pro,10MHz,147,20MHz,55,0.3741496598639456,10MHz_to_20MHz
SerialNumber_206,Mini 4 Pro,10MHz,147,20MHz,223,1.5170068027210883,10MHz_to_20MHz
SerialNumber_206,Mini 4 Pro,10MHz,147,20MHz,54,0.3673469387755102,10MHz_to_20MHz
SerialNumber_206,Mini 4 Pro,10MHz,147,20MHz,1,0.006802721088435374,10MHz_to_20MHz
SerialNumber_206,Mini 4 Pro,10MHz,147,20MHz,568,3.8639455782312924,10MHz_to_20MHz
SerialNumber_206,Mini 4 Pro,10MHz,195,20MHz,55,0.28205128205128205,10MHz_to_20MHz
SerialNumber_206,Mini 4 Pro,10MHz,195,20MHz,223,1.1435897435897435,10MHz_to_20MHz
SerialNumber_206,Mini 4 Pro,10MHz,195,20MHz,54,0.27692307692307694,10MHz_to_20MHz
SerialNumber_206,Mini 4 Pro,10MHz,195,20MHz,1,0.005128205128205128,10MHz_to_20MHz
SerialNumber_206,Mini 4 Pro,10MHz,195,20MHz,568,2.9128205128205127,10MHz_to_20MHz
SerialNumber_21,Mini 2 SE,40MHz,156,20MHz,522,3.3461538461538463,40MHz_to_20MHz
SerialNumber_21,Mini 2 SE,40MHz,156,10MHz,195,1.25,40MHz_to_10MHz
SerialNumber_21,Mini 2 SE,20MHz,522,40MHz,156,0.2988505747126437,20MHz_to_40MHz
SerialNumber_21,Mini 2 SE,20MHz,522,10MHz,195,0.3735632183908046,20MHz_to_10MHz
SerialNumber_21,Mini 2 SE,10MHz,195,40MHz,156,0.8,10MHz_to_40MHz
SerialNumber_21,Mini 2 SE,10MHz,195,20MHz,522,2.6769230769230767,10MHz_to_20MHz
SerialNumber_210,Mavic 3 Pro,10MHz,195,20MHz,116,0.5948717948717949,10MHz_to_20MHz
SerialNumber_210,Mavic 3 Pro,10MHz,195,20MHz,523,2.682051282051282,10MHz_to_20MHz
SerialNumber_210,Mavic 3 Pro,10MHz,195,40MHz,156,0.8,10MHz_to_40MHz
SerialNumber_210,Mavic 3 Pro,10MHz,195,40MHz,2,0.010256410256410256,10MHz_to_40MHz
SerialNumber_210,Mavic 3 Pro,20MHz,116,10MHz,195,1.6810344827586208,20MHz_to_10MHz
SerialNumber_210,Mavic 3 Pro,20MHz,523,10MHz,195,0.372848948374761,20MHz_to_10MHz
SerialNumber_210,Mavic 3 Pro,20MHz,116,40MHz,156,1.3448275862068966,20MHz_to_40MHz
SerialNumber_210,Mavic 3 Pro,20MHz,116,40MHz,2,0.017241379310344827,20MHz_to_40MHz
SerialNumber_210,Mavic 3 Pro,20MHz,523,40MHz,156,0.2982791586998088,20MHz_to_40MHz
SerialNumber_210,Mavic 3 Pro,20MHz,523,40MHz,2,0.0038240917782026767,20MHz_to_40MHz
SerialNumber_210,Mavic 3 Pro,40MHz,156,10MHz,195,1.25,40MHz_to_10MHz
SerialNumber_210,Mavic 3 Pro,40MHz,2,10MHz,195,97.5,40MHz_to_10MHz
SerialNumber_210,Mavic 3 Pro,40MHz,156,20MHz,116,0.7435897435897436,40MHz_to_20MHz
SerialNumber_210,Mavic 3 Pro,40MHz,156,20MHz,523,3.3525641025641026,40MHz_to_20MHz
SerialNumber_210,Mavic 3 Pro,40MHz,2,20MHz,116,58.0,40MHz_to_20MHz
SerialNumber_210,Mavic 3 Pro,40MHz,2,20MHz,523,261.5,40MHz_to_20MHz
SerialNumber_218,Air 3,10MHz,195,20MHz,223,1.1435897435897435,10MHz_to_20MHz
SerialNumber_218,Air 3,10MHz,195,20MHz,55,0.28205128205128205,10MHz_to_20MHz
SerialNumber_218,Air 3,10MHz,195,20MHz,54,0.27692307692307694,10MHz_to_20MHz
SerialNumber_218,Air 3,10MHz,195,20MHz,600,3.076923076923077,10MHz_to_20MHz
SerialNumber_218,Air 3,10MHz,195,20MHz,569,2.917948717948718,10MHz_to_20MHz
SerialNumber_218,Air 3,10MHz,195,20MHz,1,0.005128205128205128,10MHz_to_20MHz
SerialNumber_218,Air 3,10MHz,195,20MHz,568,2.9128205128205127,10MHz_to_20MHz
SerialNumber_218,Air 3,20MHz,223,10MHz,195,0.874439461883408,20MHz_to_10MHz
SerialNumber_218,Air 3,20MHz,55,10MHz,195,3.5454545454545454,20MHz_to_10MHz
SerialNumber_218,Air 3,20MHz,54,10MHz,195,3.611111111111111,20MHz_to_10MHz
SerialNumber_218,Air 3,20MHz,600,10MHz,195,0.325,20MHz_to_10MHz
SerialNumber_218,Air 3,20MHz,569,10MHz,195,0.3427065026362039,20MHz_to_10MHz
SerialNumber_218,Air 3,20MHz,1,10MHz,195,195.0,20MHz_to_10MHz
SerialNumber_218,Air 3,20MHz,568,10MHz,195,0.34330985915492956,20MHz_to_10MHz
SerialNumber_22,DJI Air 2S,10MHz,195,40MHz,156,0.8,10MHz_to_40MHz
SerialNumber_22,DJI Air 2S,10MHz,195,40MHz,2,0.010256410256410256,10MHz_to_40MHz
SerialNumber_22,DJI Air 2S,10MHz,195,40MHz,387,1.9846153846153847,10MHz_to_40MHz
SerialNumber_22,DJI Air 2S,10MHz,195,20MHz,116,0.5948717948717949,10MHz_to_20MHz
SerialNumber_22,DJI Air 2S,10MHz,195,20MHz,522,2.6769230769230767,10MHz_to_20MHz
SerialNumber_22,DJI Air 2S,10MHz,195,20MHz,223,1.1435897435897435,10MHz_to_20MHz
SerialNumber_22,DJI Air 2S,10MHz,195,20MHz,55,0.28205128205128205,10MHz_to_20MHz
SerialNumber_22,DJI Air 2S,10MHz,195,20MHz,600,3.076923076923077,10MHz_to_20MHz
SerialNumber_22,DJI Air 2S,10MHz,195,20MHz,569,2.917948717948718,10MHz_to_20MHz
SerialNumber_22,DJI Air 2S,10MHz,195,20MHz,54,0.27692307692307694,10MHz_to_20MHz
SerialNumber_22,DJI Air 2S,10MHz,195,20MHz,525,2.6923076923076925,10MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,156,10MHz,195,1.25,40MHz_to_10MHz
SerialNumber_22,DJI Air 2S,40MHz,2,10MHz,195,97.5,40MHz_to_10MHz
SerialNumber_22,DJI Air 2S,40MHz,387,10MHz,195,0.5038759689922481,40MHz_to_10MHz
SerialNumber_22,DJI Air 2S,40MHz,156,20MHz,116,0.7435897435897436,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,156,20MHz,522,3.3461538461538463,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,156,20MHz,223,1.4294871794871795,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,156,20MHz,55,0.3525641025641026,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,156,20MHz,600,3.8461538461538463,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,156,20MHz,569,3.6474358974358974,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,156,20MHz,54,0.34615384615384615,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,156,20MHz,525,3.3653846153846154,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,2,20MHz,116,58.0,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,2,20MHz,522,261.0,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,2,20MHz,223,111.5,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,2,20MHz,55,27.5,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,2,20MHz,600,300.0,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,2,20MHz,569,284.5,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,2,20MHz,54,27.0,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,2,20MHz,525,262.5,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,387,20MHz,116,0.2997416020671835,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,387,20MHz,522,1.3488372093023255,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,387,20MHz,223,0.5762273901808785,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,387,20MHz,55,0.1421188630490956,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,387,20MHz,600,1.550387596899225,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,387,20MHz,569,1.4702842377260983,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,387,20MHz,54,0.13953488372093023,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,40MHz,387,20MHz,525,1.3565891472868217,40MHz_to_20MHz
SerialNumber_22,DJI Air 2S,20MHz,116,10MHz,195,1.6810344827586208,20MHz_to_10MHz
SerialNumber_22,DJI Air 2S,20MHz,522,10MHz,195,0.3735632183908046,20MHz_to_10MHz
SerialNumber_22,DJI Air 2S,20MHz,223,10MHz,195,0.874439461883408,20MHz_to_10MHz
SerialNumber_22,DJI Air 2S,20MHz,55,10MHz,195,3.5454545454545454,20MHz_to_10MHz
SerialNumber_22,DJI Air 2S,20MHz,600,10MHz,195,0.325,20MHz_to_10MHz
SerialNumber_22,DJI Air 2S,20MHz,569,10MHz,195,0.3427065026362039,20MHz_to_10MHz
SerialNumber_22,DJI Air 2S,20MHz,54,10MHz,195,3.611111111111111,20MHz_to_10MHz
SerialNumber_22,DJI Air 2S,20MHz,525,10MHz,195,0.37142857142857144,20MHz_to_10MHz
SerialNumber_22,DJI Air 2S,20MHz,116,40MHz,156,1.3448275862068966,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,116,40MHz,2,0.017241379310344827,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,116,40MHz,387,3.336206896551724,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,522,40MHz,156,0.2988505747126437,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,522,40MHz,2,0.0038314176245210726,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,522,40MHz,387,0.7413793103448276,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,223,40MHz,156,0.6995515695067265,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,223,40MHz,2,0.008968609865470852,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,223,40MHz,387,1.7354260089686098,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,55,40MHz,156,2.8363636363636364,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,55,40MHz,2,0.03636363636363636,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,55,40MHz,387,7.036363636363636,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,600,40MHz,156,0.26,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,600,40MHz,2,0.0033333333333333335,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,600,40MHz,387,0.645,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,569,40MHz,156,0.2741652021089631,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,569,40MHz,2,0.0035149384885764497,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,569,40MHz,387,0.680140597539543,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,54,40MHz,156,2.888888888888889,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,54,40MHz,2,0.037037037037037035,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,54,40MHz,387,7.166666666666667,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,525,40MHz,156,0.29714285714285715,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,525,40MHz,2,0.0038095238095238095,20MHz_to_40MHz
SerialNumber_22,DJI Air 2S,20MHz,525,40MHz,387,0.7371428571428571,20MHz_to_40MHz
SerialNumber_233,M300,10MHz,195,20MHz,493,2.528205128205128,10MHz_to_20MHz
SerialNumber_233,M300,10MHz,195,20MHz,101,0.517948717948718,10MHz_to_20MHz
SerialNumber_233,M300,10MHz,195,20MHz,331,1.6974358974358974,10MHz_to_20MHz
SerialNumber_233,M300,10MHz,195,20MHz,600,3.076923076923077,10MHz_to_20MHz
SerialNumber_233,M300,10MHz,195,20MHz,494,2.533333333333333,10MHz_to_20MHz
SerialNumber_233,M300,10MHz,195,20MHz,332,1.7025641025641025,10MHz_to_20MHz
SerialNumber_233,M300,10MHz,195,20MHz,1,0.005128205128205128,10MHz_to_20MHz
SerialNumber_233,M300,10MHz,147,20MHz,493,3.3537414965986394,10MHz_to_20MHz
SerialNumber_233,M300,10MHz,147,20MHz,101,0.6870748299319728,10MHz_to_20MHz
SerialNumber_233,M300,10MHz,147,20MHz,331,2.251700680272109,10MHz_to_20MHz
SerialNumber_233,M300,10MHz,147,20MHz,600,4.081632653061225,10MHz_to_20MHz
SerialNumber_233,M300,10MHz,147,20MHz,494,3.360544217687075,10MHz_to_20MHz
SerialNumber_233,M300,10MHz,147,20MHz,332,2.258503401360544,10MHz_to_20MHz
SerialNumber_233,M300,10MHz,147,20MHz,1,0.006802721088435374,10MHz_to_20MHz
SerialNumber_233,M300,10MHz,195,40MHz,1199,6.148717948717949,10MHz_to_40MHz
SerialNumber_233,M300,10MHz,147,40MHz,1199,8.156462585034014,10MHz_to_40MHz
SerialNumber_233,M300,20MHz,493,10MHz,195,0.39553752535496955,20MHz_to_10MHz
SerialNumber_233,M300,20MHz,493,10MHz,147,0.29817444219066935,20MHz_to_10MHz
SerialNumber_233,M300,20MHz,101,10MHz,195,1.9306930693069306,20MHz_to_10MHz
SerialNumber_233,M300,20MHz,101,10MHz,147,1.4554455445544554,20MHz_to_10MHz
SerialNumber_233,M300,20MHz,331,10MHz,195,0.5891238670694864,20MHz_to_10MHz
SerialNumber_233,M300,20MHz,331,10MHz,147,0.44410876132930516,20MHz_to_10MHz
SerialNumber_233,M300,20MHz,600,10MHz,195,0.325,20MHz_to_10MHz
SerialNumber_233,M300,20MHz,600,10MHz,147,0.245,20MHz_to_10MHz
SerialNumber_233,M300,20MHz,494,10MHz,195,0.39473684210526316,20MHz_to_10MHz
SerialNumber_233,M300,20MHz,494,10MHz,147,0.2975708502024291,20MHz_to_10MHz
SerialNumber_233,M300,20MHz,332,10MHz,195,0.5873493975903614,20MHz_to_10MHz
SerialNumber_233,M300,20MHz,332,10MHz,147,0.4427710843373494,20MHz_to_10MHz
SerialNumber_233,M300,20MHz,1,10MHz,195,195.0,20MHz_to_10MHz
SerialNumber_233,M300,20MHz,1,10MHz,147,147.0,20MHz_to_10MHz
SerialNumber_233,M300,20MHz,493,40MHz,1199,2.4320486815415823,20MHz_to_40MHz
SerialNumber_233,M300,20MHz,101,40MHz,1199,11.871287128712872,20MHz_to_40MHz
SerialNumber_233,M300,20MHz,331,40MHz,1199,3.622356495468278,20MHz_to_40MHz
SerialNumber_233,M300,20MHz,600,40MHz,1199,1.9983333333333333,20MHz_to_40MHz
SerialNumber_233,M300,20MHz,494,40MHz,1199,2.4271255060728745,20MHz_to_40MHz
SerialNumber_233,M300,20MHz,332,40MHz,1199,3.61144578313253,20MHz_to_40MHz
SerialNumber_233,M300,20MHz,1,40MHz,1199,1199.0,20MHz_to_40MHz
SerialNumber_233,M300,40MHz,1199,10MHz,195,0.16263552960800667,40MHz_to_10MHz
SerialNumber_233,M300,40MHz,1199,10MHz,147,0.12260216847372811,40MHz_to_10MHz
SerialNumber_233,M300,40MHz,1199,20MHz,493,0.41117597998331945,40MHz_to_20MHz
SerialNumber_233,M300,40MHz,1199,20MHz,101,0.08423686405337781,40MHz_to_20MHz
SerialNumber_233,M300,40MHz,1199,20MHz,331,0.27606338615512926,40MHz_to_20MHz
SerialNumber_233,M300,40MHz,1199,20MHz,600,0.5004170141784821,40MHz_to_20MHz
SerialNumber_233,M300,40MHz,1199,20MHz,494,0.41201000834028356,40MHz_to_20MHz
SerialNumber_233,M300,40MHz,1199,20MHz,332,0.27689741451209343,40MHz_to_20MHz
SerialNumber_233,M300,40MHz,1199,20MHz,1,0.0008340283569641367,40MHz_to_20MHz
SerialNumber_236,Mavic Mini 2,20MHz,223,10MHz,195,0.874439461883408,20MHz_to_10MHz
SerialNumber_236,Mavic Mini 2,20MHz,55,10MHz,195,3.5454545454545454,20MHz_to_10MHz
SerialNumber_236,Mavic Mini 2,20MHz,569,10MHz,195,0.3427065026362039,20MHz_to_10MHz
SerialNumber_236,Mavic Mini 2,20MHz,223,40MHz,1199,5.376681614349776,20MHz_to_40MHz
SerialNumber_236,Mavic Mini 2,20MHz,55,40MHz,1199,21.8,20MHz_to_40MHz
SerialNumber_236,Mavic Mini 2,20MHz,569,40MHz,1199,2.1072056239015815,20MHz_to_40MHz
SerialNumber_236,Mavic Mini 2,10MHz,195,20MHz,223,1.1435897435897435,10MHz_to_20MHz
SerialNumber_236,Mavic Mini 2,10MHz,195,20MHz,55,0.28205128205128205,10MHz_to_20MHz
SerialNumber_236,Mavic Mini 2,10MHz,195,20MHz,569,2.917948717948718,10MHz_to_20MHz
SerialNumber_236,Mavic Mini 2,10MHz,195,40MHz,1199,6.148717948717949,10MHz_to_40MHz
SerialNumber_236,Mavic Mini 2,40MHz,1199,20MHz,223,0.1859883236030025,40MHz_to_20MHz
SerialNumber_236,Mavic Mini 2,40MHz,1199,20MHz,55,0.045871559633027525,40MHz_to_20MHz
SerialNumber_236,Mavic Mini 2,40MHz,1199,20MHz,569,0.4745621351125938,40MHz_to_20MHz
SerialNumber_236,Mavic Mini 2,40MHz,1199,10MHz,195,0.16263552960800667,40MHz_to_10MHz
SerialNumber_237,Mavic 2,10MHz,195,40MHz,158,0.8102564102564103,10MHz_to_40MHz
SerialNumber_237,Mavic 2,40MHz,158,10MHz,195,1.2341772151898733,40MHz_to_10MHz
SerialNumber_24,Mini 3,10MHz,195,40MHz,156,0.8,10MHz_to_40MHz
SerialNumber_24,Mini 3,10MHz,195,20MHz,55,0.28205128205128205,10MHz_to_20MHz
SerialNumber_24,Mini 3,10MHz,195,20MHz,223,1.1435897435897435,10MHz_to_20MHz
SerialNumber_24,Mini 3,10MHz,195,20MHz,54,0.27692307692307694,10MHz_to_20MHz
SerialNumber_24,Mini 3,40MHz,156,10MHz,195,1.25,40MHz_to_10MHz
SerialNumber_24,Mini 3,40MHz,156,20MHz,55,0.3525641025641026,40MHz_to_20MHz
SerialNumber_24,Mini 3,40MHz,156,20MHz,223,1.4294871794871795,40MHz_to_20MHz
SerialNumber_24,Mini 3,40MHz,156,20MHz,54,0.34615384615384615,40MHz_to_20MHz
SerialNumber_24,Mini 3,20MHz,55,10MHz,195,3.5454545454545454,20MHz_to_10MHz
SerialNumber_24,Mini 3,20MHz,223,10MHz,195,0.874439461883408,20MHz_to_10MHz
SerialNumber_24,Mini 3,20MHz,54,10MHz,195,3.611111111111111,20MHz_to_10MHz
SerialNumber_24,Mini 3,20MHz,55,40MHz,156,2.8363636363636364,20MHz_to_40MHz
SerialNumber_24,Mini 3,20MHz,223,40MHz,156,0.6995515695067265,20MHz_to_40MHz
SerialNumber_24,Mini 3,20MHz,54,40MHz,156,2.888888888888889,20MHz_to_40MHz
SerialNumber_243,Mavic 3 Pro,10MHz,195,20MHz,111,0.5692307692307692,10MHz_to_20MHz
SerialNumber_243,Mavic 3 Pro,10MHz,195,20MHz,266,1.3641025641025641,10MHz_to_20MHz
SerialNumber_243,Mavic 3 Pro,10MHz,195,20MHz,1,0.005128205128205128,10MHz_to_20MHz
